element_library,object_kind,name,icon_key,icon_path,notes
ember,SubComponent,CMT2DMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,CMT3DMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,CMTCRMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,CommDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,CommMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,DetailedRingMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,DetailedStreamMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,FFT3DMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,FiniMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,Halo2DMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,Halo2DNBRMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,Halo3D26Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,Halo3DMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,Halo3DSVMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,HotSpotsMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,IncastMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,InitMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,LQCDMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,MsgRateMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,NASLUMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,NtoMMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,NullMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,PingPongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,RandomMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ReduceMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,RingMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,SIRIUSTraceMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ScatterMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ScattervMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,SendrecvMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAddDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAddFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAddIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAddLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAlltoall32Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAlltoall64Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAlltoalls32Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAlltoalls64Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAtomicIncIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAtomicIncLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAtomicIncV2IntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemAtomicIncV2LongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemBarrierAllMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemBarrierMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemBroadcast32Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemBroadcast64Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemCollect32Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemCollect64Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemCswapDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemCswapFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemCswapIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemCswapLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFAM_AtomicIncIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFAM_AtomicIncLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFAM_CswapIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFAM_CswapLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFAM_GathervMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFAM_Get2Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFAM_PutMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFAM_ScattervMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFaddDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFaddFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFaddIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFaddLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFcollect32Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemFcollect64Motif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetLongMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetNBIDoubleMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetNBIFloatMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetNBIIntMotif,comm_pattern,comm_pattern.png,
ember,SubComponent,ShmemGetNBILongMotif,comm_pattern,comm_pattern.png,
